タイトル,エリア,レベル
冒険者への手引き,グリダニア,1 
冒険者への手引き,リムサ・ロミンサ,1 
冒険者への手引き,ウルダハ,1 
バノック練兵所へ,グリダニア,4 
サマーフォード庄へ,リムサ・ロミンサ,4 
ウルダハ操車庫へ,ウルダハ,4 
傭兵の身構え,黒衣森：中央森林,5 
不審者を追って,黒衣森：中央森林,5 
猛者の風格,中央ラノシア,5 
シーソング石窟に潜む者,中央ラノシア,5 
美味しい差し入れ,中央ザナラーン,5 
ササガン大王樹の下で,中央ザナラーン,5 
陸にあがった海賊,中央ラノシア,7 
御礼品は予約品,中央ザナラーン,6 
チゴーの卵袋,黒衣森：中央森林,7 
横流し疑惑,中央ラノシア,8 
測量機材を探して,黒衣森：中央森林,8 
戦場の備え,中央ザナラーン,8 
森を脅かすものたち,黒衣森：中央森林,9 
ウォーレン牢獄の影,黒衣森：中央森林,9 
芳しき陸の勇者,中央ラノシア,9 
元海賊を笑う海賊,中央ラノシア,9 
裏切りの代償,中央ラノシア,9 
迷惑な鉱石マニア,中央ザナラーン,9 
成功の表と裏,中央ザナラーン,9 
ベントブランチ牧場への誘い,グリダニア,10 
侵入者に制裁を！,黒衣森：中央森林,10 
スカイリフトへ,リムサ・ロミンサ,10 
ホライズンへ,ウルダハ,10 
宝石商の憂鬱,西ザナラーン,10 
ナナシャマラカイトを取り戻せ！,西ザナラーン,10 
アオツキダケの脅威,黒衣森：中央森林,11 
牧場に忍び寄る影,黒衣森：中央森林,11 
伝令文の回覧,黒衣森：中央森林,11 
すべてを奪われた地,中央ラノシア,11 
ブルワーズ灯台の異変,西ラノシア,11 
モラビー造船廠へ,リムサ・ロミンサ,11 
五月蝿いヤツら,西ザナラーン,11 
貧民街の連隊長,西ザナラーン,11 
飛ぶ魔物の調査,黒衣森：中央森林,12 
帰らぬ造船師,低地ラノシア,12 
消えた造船師,低地ラノシア,12 
その男、サー・キヴロン,中央ザナラーン,12 
受け継がれる護身刀,中央ザナラーン,12 
ひそやかな警鐘,黒衣森：中央森林,13 
取り残された届け物,黒衣森：中央森林,13 
造船廠を刺す眼光,低地ラノシア,13 
足跡の谷へ,西ザナラーン,13 
酒のサカナ求む,西ザナラーン,13 
守るべきぬくもり,黒衣森：中央森林,14 
不穏な報せ,黒衣森：中央森林,14 
大樹で蠢く闇の鼓動,グリダニア,14 
祭りの準備,グリダニア,14 
大御霊祭り,グリダニア,14 
ヴィクトリー号炎上,低地ラノシア,14 
蒼き刺青の男たち,低地ラノシア,14 
スウィフトパーチで蠢く闇,リムサ・ロミンサ,14 
紳士淑女の嗜み,リムサ・ロミンサ,14 
ミズンマストの晩餐会,リムサ・ロミンサ,14 
正義を銅の刃に宿し,西ザナラーン,14 
落日の銀冑団,西ザナラーン,14 
至宝の影で蠢く闇,ウルダハ,14 
晩餐会に備えて,ウルダハ,14 
王宮の晩餐会,ウルダハ,14 
海都と砂都と,グリダニア,15 
森都と砂都と,リムサ・ロミンサ,15 
海都と森都と,ウルダハ,15 
海都で待つ仕事,グリダニア,15 
海都で待つ仕事,ウルダハ,15 
サスタシャに挑む者,リムサ・ロミンサ,15 
森都で待つ仕事,リムサ・ロミンサ,15 
